Departamento,Festividad,Título del Video,URL
Ancash,Santa Catalina,"BANDA LOS HIJOS DE SANTA CATALINA - HUARAZ - ANCASH - PERÚ, 2019.",https://www.youtube.com/watch?v=AL7NjrdAgKs&list=RDAL7NjrdAgKs&start_radio=1&pp=ygUbU2FudGEgQ2F0YWxpbmEgQW5jYXNoIFBlcsO6oAcB
Ancash,Fiesta de la Inmaculada Concepción,"Fiesta de la Virgen Inmaculada Concepción 2022 , Vacas Locas y Fin de Fiesta , 10ma parte",https://www.youtube.com/watch?v=0kSqjkEwgeI&pp=ygUwRmllc3RhIGRlIGxhIElubWFjdWxhZGEgQ29uY2VwY2nDs24gQW5jYXNoIFBlcsO6
Ancash,Fiesta de mama Loreta o de la Virgen de Loreta,La fiesta donde los regalos bailan (Carhuaz),https://www.youtube.com/watch?v=i51EFwO9qjk&pp=ygU7Rmllc3RhIGRlIG1hbWEgTG9yZXRhIG8gZGUgbGEgVmlyZ2VuIGRlIExvcmV0YSBBbmNhc2ggUGVyw7o%3D
Ancash,La Inmaculada Concepción,COLEGIO INMACULADA CONCEPCIÓN DE CASMA - ANCASH - PERÚ,https://www.youtube.com/watch?v=ybFb4dQtQ44&pp=ygUmTGEgSW5tYWN1bGFkYSBDb25jZXBjacOzbiBBbmNhc2ggUGVyw7o%3D
Ancash,La natividad del Niño Jesús.,Tradición y fiesta popular en Huari: pastorcillos escenifican el nacimiento de Jesús,https://www.youtube.com/watch?v=ESKOQ2UGzA0&pp=ygUrTGEgbmF0aXZpZGFkIGRlbCBOacOxbyBKZXPDunMuIEFuY2FzaCBQZXLDug%3D%3D
Ancash,Señor de Navidad,Tradiciones de la fiesta navideña en el pueblo ancashino de Huayán - 20 de Diciembre | PERÚ PROFUNDO,https://www.youtube.com/watch?v=jKo62V7jaK0&pp=ygUeU2XDsW9yIGRlIE5hdmlkYWQgQW5jYXNoIFBlcsO6
Apurimac,Diversas celebraciones,LAS 5 FESTIVIDADES MÁS GRANDES DEL PERÚ🎉🎉,https://www.youtube.com/watch?v=JGn0n3PoFVY&pp=ygUlRGl2ZXJzYXMgY2VsZWJyYWNpb25lcyBBcHVyaW1hYyBQZXLDug%3D%3D
Apurimac,Día Patronal del Señor de la Caída,SEÑOR DE LA CAIDA EN CHINCHICHACA - ABANCAY - APURIMAC - PERU,https://www.youtube.com/watch?v=hSSVJdAAXp0&pp=ygU0RMOtYSBQYXRyb25hbCBkZWwgU2XDsW9yIGRlIGxhIENhw61kYSBBcHVyaW1hYyBQZXLDug%3D%3D
Apurimac,Festividad del Niño de Praga,FIESTA PATRONAL NIÑO JESÚS DE PRAGA ANDAHUAYLAS APURIMAC.,https://www.youtube.com/watch?v=cy83avG8YPU&list=RDcy83avG8YPU&start_radio=1&pp=ygUsRmVzdGl2aWRhZCBkZWwgTmnDsW8gZGUgUHJhZ2EgQXB1cmltYWMgUGVyw7qgBwHSBwkJ2AkBhyohjO8%3D
Apurimac,Apurímac Fiesta de la Virgen de la Candelaria,"""Luces de Devoción: La Festividad de la Virgen de la Candelaria en Ocobamba""",https://www.youtube.com/watch?v=TBHf82Pww2k&pp=ygU9QXB1csOtbWFjIEZpZXN0YSBkZSBsYSBWaXJnZW4gZGUgbGEgQ2FuZGVsYXJpYSBBcHVyaW1hYyBQZXLDug%3D%3D
